Locus	Average_support	Maximum_Support	Minimum_support	Number_of_Internal_Edges	Number_of_High_Support_Edges	percentage_of_high_support_edges
L192	64.9899	100	0	198	102	0.515151515
L193	32.5839	100	0	161	26	0.161490683
L194	54.6364	100	0	198	87	0.439393939
L195	72.3182	100	1	198	122	0.616161616
L196	60.8724	100	0	196	97	0.494897959
L197	62.8687	100	0	198	103	0.52020202
L2	62.1667	100	0	198	108	0.545454545
L201	74.6684	100	0	196	126	0.642857143
L202	65.7727	100	0	198	103	0.52020202
L203	57.6263	100	0	198	91	0.45959596
L204	68.2576	100	0	198	112	0.565656566
L205	68.8485	100	0	198	113	0.570707071
L206	70.197	100	0	198	120	0.606060606
L207	64.2626	100	0	198	99	0.5
L208	40.6686	100	0	175	39	0.222857143
L209	64.4141	100	0	198	107	0.54040404
L21	51.75	100	0	196	76	0.387755102
L210	62.8131	100	0	198	97	0.48989899
L211	70.9293	100	0	198	120	0.606060606
L213	74.6313	100	0	198	134	0.676767677
L214	39.7462	100	0	197	41	0.208121827
L215	54	100	0	198	66	0.333333333
L216	68.1173	100	0	196	117	0.596938776
L217	62.7525	100	0	198	101	0.51010101
L219	42.2154	100	0	195	52	0.266666667
L22	66.3434	100	0	198	105	0.53030303
L221	58.9646	100	0	198	94	0.474747475
L222	69.1263	100	2	198	111	0.560606061
L223	49.3913	100	0	184	63	0.342391304
L224	68.9495	100	0	198	114	0.575757576
L225	57.3756	100	0	197	80	0.406091371
L226	61.9747	100	0	198	97	0.48989899
L228	70.5101	100	0	198	122	0.616161616
L229	68.9645	100	0	197	113	0.573604061
L230	63.599	100	0	197	106	0.538071066
L231	66.1313	100	0	198	110	0.555555556
L232	67.8535	100	0	198	119	0.601010101
L233	55.0609	100	0	197	74	0.375634518
L234	70.9697	100	0	198	116	0.585858586
L235	63.0808	100	0	198	100	0.505050505
L237	57.1269	100	0	197	76	0.385786802
L239	59.1786	100	0	196	86	0.43877551
L24	69.5808	100	0	198	118	0.595959596
L240	48.1269	100	0	197	64	0.324873096
L241	66.2929	100	0	198	113	0.570707071
L242	67.2071	100	0	198	115	0.580808081
L243	60.7222	100	0	198	90	0.454545455
L244	55.6414	100	0	198	80	0.404040404
L245	66.4848	100	0	198	108	0.545454545
L246	63.1818	100	0	198	108	0.545454545
L247	70.699	100	0	196	117	0.596938776
L248	68.9141	100	0	198	112	0.565656566
L249	58	100	0	195	86	0.441025641
L250	66.3333	100	0	198	104	0.525252525
L251	66.5152	100	0	198	108	0.545454545
L252	71.0909	100	0	198	123	0.621212121
L253	56.5808	100	0	198	88	0.444444444
L255	71.0455	100	1	198	118	0.595959596
L256	67.5657	100	0	198	118	0.595959596
L257	65.4697	100	0	198	110	0.555555556
L258	71.1846	100	0	195	120	0.615384615
L260	28.4848	100	0	198	26	0.131313131
L261	60.0305	100	0	197	96	0.487309645
L262	69	100	0	198	114	0.575757576
L264	59.7157	100	0	197	89	0.45177665
L265	61.3622	100	0	196	94	0.479591837
L266	70.3232	100	0	198	119	0.601010101
L267	73.5808	100	0	198	122	0.616161616
L269	67.5533	100	0	197	112	0.568527919
L27	60.5051	100	0	196	91	0.464285714
L270	70.1313	100	0	198	113	0.570707071
L271	49.798	100	0	198	68	0.343434343
L272	26.7606	100	0	188	22	0.117021277
L275	70.7525	100	0	198	121	0.611111111
L276	62.8788	100	0	198	107	0.54040404
L277	63.2234	100	0	197	99	0.502538071
L279	64.0202	100	0	198	104	0.525252525
L28	67.9848	100	0	198	110	0.555555556
L280	69.3505	100	0	194	120	0.618556701
L281	62.2172	100	0	198	99	0.5
L282	67.7323	100	0	198	112	0.565656566
L288	50.3788	100	0	198	70	0.353535354
L289	64.0404	100	0	198	102	0.515151515
L290	64.5859	100	0	198	108	0.545454545
L292	71.0457	100	0	197	121	0.614213198
L293	58.803	100	0	198	87	0.439393939
L294	65.934	100	0	197	104	0.527918782
L295	62.3096	100	0	197	97	0.492385787
L296	63.2273	100	0	198	97	0.48989899
L297	60.1162	100	0	198	101	0.51010101
L298	67.2778	100	0	198	106	0.535353535
L3	59.269	100	0	197	91	0.461928934
L30	63.2929	100	0	198	96	0.484848485
L301	49.4769	100	0	195	68	0.348717949
L302	57.4231	100	0	182	73	0.401098901
L303	69.9242	100	0	198	114	0.575757576
L305	45.6316	100	0	190	59	0.310526316
L306	52.3182	100	0	198	71	0.358585859
L307	62.5101	100	0	198	103	0.52020202
L31	68.1818	100	0	198	113	0.570707071
L310	64.4545	100	0	198	112	0.565656566
L311	64.9091	100	0	198	108	0.545454545
L312	68.1224	100	0	196	107	0.545918367
L314	55.6667	100	0	198	82	0.414141414
L315	70.5202	100	0	198	122	0.616161616
L316	61.0505	100	0	198	99	0.5
L317	58.2879	100	0	198	87	0.439393939
L318	67.5025	100	0	197	105	0.532994924
L319	69.8934	100	0	197	117	0.593908629
L32	69.2576	100	0	198	111	0.560606061
L320	63.2071	100	0	198	98	0.494949495
L321	60.8274	100	0	197	98	0.497461929
L322	61.7677	100	0	198	98	0.494949495
L325	59.9697	100	0	198	83	0.419191919
L327	66.0612	100	0	196	110	0.56122449
L328	63.9242	100	0	198	100	0.505050505
L329	62.9747	100	0	198	104	0.525252525
L330	61.9899	100	0	198	97	0.48989899
L331	70.2296	100	0	196	114	0.581632653
L333	69.8788	100	0	198	116	0.585858586
L334	62.0508	100	0	197	92	0.467005076
L335	68.6465	100	0	198	110	0.555555556
L336	66.6616	100	0	198	109	0.550505051
L337	68.8131	100	0	198	110	0.555555556
L338	71.2475	100	0	198	128	0.646464646
L339	68.9192	100	0	198	113	0.570707071
L34	71.7194	100	0	196	116	0.591836735
L340	67.6313	100	0	198	113	0.570707071
L341	65.7172	100	0	198	109	0.550505051
L342	70.2323	100	0	198	112	0.565656566
L343	60.9381	100	0	194	93	0.479381443
L344	31.1818	100	0	198	37	0.186868687
L346	58.5657	100	0	198	90	0.454545455
L347	52.2893	100	0	197	70	0.355329949
L348	54.9697	100	0	198	82	0.414141414
L349	26.0539	100	0	167	18	0.107784431
L35	64.5657	100	0	198	103	0.52020202
L36	62.2778	100	0	198	102	0.515151515
L37	74.8081	100	0	198	124	0.626262626
L38	66.2778	100	0	198	108	0.545454545
L39	61.6566	100	0	198	102	0.515151515
L4	65.4898	100	0	196	105	0.535714286
L41	64.7424	100	0	198	106	0.535353535
L42	62.5204	100	0	196	106	0.540816327
L43	67.0558	100	0	197	110	0.558375635
L44	63.2374	100	0	198	100	0.505050505
L48	64.4293	100	0	198	104	0.525252525
L49	68.7677	100	0	198	119	0.601010101
L5	61.1364	100	0	198	103	0.52020202
L50	66.8686	100	0	175	96	0.548571429
L51	57.132	100	0	197	86	0.436548223
L53	55.1515	100	0	198	76	0.383838384
L54	51.9141	100	0	198	75	0.378787879
L57	61.3182	100	0	198	97	0.48989899
L58	59.0354	100	0	198	92	0.464646465
L59	63.5758	100	0	198	106	0.535353535
L6	69.197	100	0	198	118	0.595959596
L61	62.4899	100	0	198	102	0.515151515
L62	64.1818	100	0	198	108	0.545454545
L63	67.4975	100	0	197	111	0.563451777
L64	65.6616	100	0	198	106	0.535353535
L65	69.6633	100	0	196	114	0.581632653
L67	69.4192	100	0	198	117	0.590909091
L7	55.8939	100	0	198	86	0.434343434
L72	61.8737	100	0	198	95	0.47979798
L73	65.2727	100	0	198	110	0.555555556
L74	66.9394	100	0	198	109	0.550505051
L75	69.3737	100	0	198	121	0.611111111
L76	69.1465	100	0	198	112	0.565656566
L77	65.3846	100	0	195	104	0.533333333
L78	68.0615	100	0	195	106	0.543589744
L79	67.4798	100	0	198	112	0.565656566
L8	58.1421	100	0	197	86	0.436548223
L80	61.8384	100	0	198	91	0.45959596
L81	76.3949	100	0	195	137	0.702564103
L82	66.0707	100	0	198	108	0.545454545
L85	70.7005	100	0	197	119	0.604060914
L86	67.3939	100	0	198	114	0.575757576
L87	62.5404	100	0	198	105	0.53030303
L88	59.7323	100	0	198	92	0.464646465
L89	63.8737	100	0	198	100	0.505050505
L9	62.702	100	0	198	101	0.51010101
L91	73.8889	100	0	198	128	0.646464646
L94	55.4592	100	0	196	73	0.37244898
L95	64.4141	100	0	198	103	0.52020202
L98	56.4596	100	0	198	77	0.388888889
L99	63.6465	100	0	198	104	0.525252525
